occurrenceID,measurementType,measurementValue,measurementUnit,measurementUnitID,eventID
MEAS_C2404-1_black sea bass_1,total length,251,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_C2404-1_black sea bass_1,weight (recorded),275,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-1_black sea bass_1,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-1_black sea bass_1,weight,275,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-1_black sea bass_1,retained,Y,,,
MEAS_C2404-1_black sea bass_2,total length,291,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_C2404-1_black sea bass_2,weight (recorded),295,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-1_black sea bass_2,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-1_black sea bass_2,weight,295,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-1_black sea bass_2,retained,Y,,,
MEAS_C2404-1_black sea bass_3,total length,200,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_C2404-1_black sea bass_3,weight (recorded),165,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-1_black sea bass_3,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-1_black sea bass_3,weight,165,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-1_black sea bass_3,retained,Y,,,
MEAS_C2404-1_black sea bass_4,total length,211,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_C2404-1_black sea bass_4,weight (recorded),170,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-1_black sea bass_4,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-1_black sea bass_4,weight,170,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-1_black sea bass_4,retained,Y,,,
MEAS_C2404-1_black sea bass_5,total length,214,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_C2404-1_black sea bass_5,weight (recorded),165,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-1_black sea bass_5,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-1_black sea bass_5,weight,165,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-1_black sea bass_5,retained,Y,,,
MEAS_C2404-1_black sea bass_6,total length,262,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_C2404-1_black sea bass_6,weight (recorded),305,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-1_black sea bass_6,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-1_black sea bass_6,weight,305,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-1_black sea bass_6,retained,N,,,
MEAS_C2404-1_black sea bass_7,total length,223,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_C2404-1_black sea bass_7,weight (recorded),130,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-1_black sea bass_7,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-1_black sea bass_7,weight,130,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-1_black sea bass_7,retained,N,,,
MEAS_C2404-1_black sea bass_8,total length,222,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_C2404-1_black sea bass_8,weight (recorded),205,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-1_black sea bass_8,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-1_black sea bass_8,weight,205,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-1_black sea bass_8,retained,N,,,
MEAS_C2404-1_black sea bass_9,total length,183,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_C2404-1_black sea bass_9,weight (recorded),125,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-1_black sea bass_9,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-1_black sea bass_9,weight,125,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-1_black sea bass_9,retained,N,,,
MEAS_C2404-1_black sea bass_10,total length,371,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_C2404-1_black sea bass_10,weight (recorded),615,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-1_black sea bass_10,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-1_black sea bass_10,weight,615,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-1_black sea bass_10,retained,Y,,,
MEAS_C2404-1_black sea bass_11,total length,272,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_C2404-1_black sea bass_11,weight (recorded),345,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-1_black sea bass_11,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-1_black sea bass_11,weight,345,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-1_black sea bass_11,retained,Y,,,
MEAS_C2404-1_black sea bass_12,total length,182,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_C2404-1_black sea bass_12,weight (recorded),90,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-1_black sea bass_12,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-1_black sea bass_12,weight,90,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-1_black sea bass_12,retained,Y,,,
MEAS_C2404-2_black sea bass_13,total length,241,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_C2404-2_black sea bass_13,weight (recorded),210,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-2_black sea bass_13,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
